date,day_of_week,symbol,close
2020-03-13,5,AMZ-GY,1540.8
2020-03-16,1,AMZ-GY,1553
2020-03-17,2,AMZ-GY,1649
2020-03-18,3,AMZ-GY,1665
2020-03-19,4,AMZ-GY,1774.4
2020-03-20,5,AMZ-GY,1753.2
2020-03-23,1,AMZ-GY,1733.4
2020-03-24,2,AMZ-GY,1793.8
2020-03-25,3,AMZ-GY,1759.8
2020-03-26,4,AMZ-GY,1740.6
2020-03-27,5,AMZ-GY,1729.6
2020-03-30,1,AMZ-GY,1780
2020-03-31,2,AMZ-GY,1802.6
2020-04-01,3,AMZ-GY,1763.2
2020-04-02,4,AMZ-GY,1762.6
2020-04-03,5,AMZ-GY,1764.6
2020-04-06,1,AMZ-GY,1812
2020-04-07,2,AMZ-GY,1850.4
2020-04-08,3,AMZ-GY,1860.8
2020-04-09,4,AMZ-GY,1855
2020-04-10,5,AMZ-GY,1855
2020-04-13,1,AMZ-GY,1855
2020-04-14,2,AMZ-GY,2057
2020-04-15,3,AMZ-GY,2103
2020-04-16,4,AMZ-GY,2238
2020-04-17,5,AMZ-GY,2159.5
2020-04-20,1,AMZ-GY,2229.5
2020-04-21,2,AMZ-GY,2124.5
2020-04-22,3,AMZ-GY,2181
2020-04-23,4,AMZ-GY,2225
2020-04-24,5,AMZ-GY,2218
2020-04-27,1,AMZ-GY,2229.5
2020-04-28,2,AMZ-GY,2148
2020-04-29,3,AMZ-GY,2171.5
2020-04-30,4,AMZ-GY,2217.5
2020-05-01,5,AMZ-GY,2217.5
2020-05-04,1,AMZ-GY,2123.5
2020-05-05,2,AMZ-GY,2150
2020-05-06,3,AMZ-GY,2164.5
2020-05-07,4,AMZ-GY,2181
2020-05-08,5,AMZ-GY,2189.5
2020-05-11,1,AMZ-GY,2228
2020-05-12,2,AMZ-GY,2214
2020-05-13,3,AMZ-GY,2195
2020-05-14,4,AMZ-GY,2192
2020-05-15,5,AMZ-GY,2185.5
2020-05-18,1,AMZ-GY,2227
2020-05-19,2,AMZ-GY,2267
2020-05-20,3,AMZ-GY,2260.5
2020-05-21,4,AMZ-GY,2251
2020-05-22,5,AMZ-GY,2248.5
2020-05-25,1,AMZ-GY,2259
2020-05-26,2,AMZ-GY,2210
2020-05-27,3,AMZ-GY,2154
2020-05-28,4,AMZ-GY,2185
2020-05-29,5,AMZ-GY,2168
2020-06-01,1,AMZ-GY,2168
2020-06-02,2,AMZ-GY,2195.5
2020-06-03,3,AMZ-GY,2197
2020-06-04,4,AMZ-GY,2183
