day_of_week,symbol,date,open,high,low,close,volume,change,changePercent
5,AMZ-GY,2018-05-04,1314.5,1326,1309,1323.4,5272,25.050000000000182,0.0193
1,AMZ-GY,2018-05-07,1335.99,1349,1325.91,1343.95,6348,20.549999999999955,0.0155
2,AMZ-GY,2018-05-08,1341.99,1348.49,1335.41,1340.8,5162,-3.150000000000091,-0.0023
3,AMZ-GY,2018-05-09,1345.99,1351.6,1343,1346.94,3335,6.1400000000001,0.0046
4,AMZ-GY,2018-05-10,1356.5,1358,1345.9,1351.95,1637,5.009999999999991,0.0037
5,AMZ-GY,2018-05-11,1353,1354,1339.1,1345.98,3578,-5.970000000000027,-0.0044
1,AMZ-GY,2018-05-14,1345,1348,1337.5,1341.26,6420,-4.720000000000027,-0.0035
2,AMZ-GY,2018-05-15,1342.01,1345.06,1320.5,1323,3541,-18.25999999999999,-0.0136
3,AMZ-GY,2018-05-16,1333.01,1348.1,1329.32,1344.44,4410,21.440000000000055,0.0162
4,AMZ-GY,2018-05-17,1342.35,1351.7,1338.79,1348.4,11508,3.9600000000000364,0.0029
5,AMZ-GY,2018-05-18,1344.68,1346.99,1337,1342.68,4414,-5.720000000000027,-0.0042
2,AMZ-GY,2018-05-22,1350,1350.5,1337.91,1340.59,2447,-2.0900000000001455,-0.0016
3,AMZ-GY,2018-05-23,1342.11,1347.84,1331.5,1346.7,12543,6.110000000000127,0.0046
4,AMZ-GY,2018-05-24,1364.61,1390,1355.95,1360.1,7570,13.399999999999864,0.01
5,AMZ-GY,2018-05-25,1365.51,1384.09,1365.51,1381.94,4184,21.840000000000146,0.0161
1,AMZ-GY,2018-05-28,1385,1393.11,1382.97,1390.41,2390,8.470000000000027,0.0061
2,AMZ-GY,2018-05-29,1387,1400.99,1382,1400.99,7735,10.579999999999927,0.0076
3,AMZ-GY,2018-05-30,1400,1404.74,1389.27,1393.5,5190,-7.490000000000009,-0.0053
4,AMZ-GY,2018-05-31,1393.39,1398.44,1387.12,1397.56,3545,4.059999999999945,0.0029
5,AMZ-GY,2018-06-01,1400.95,1409.87,1395.11,1409.87,3574,12.309999999999945,0.0088
1,AMZ-GY,2018-06-04,1413,1413.7,1402,1413.39,8354,3.520000000000209,0.0025
2,AMZ-GY,2018-06-05,1427.01,1447.86,1425,1439.96,4875,26.569999999999936,0.0188
3,AMZ-GY,2018-06-06,1454.1,1456.97,1431.19,1448.99,6060,9.029999999999973,0.0063
4,AMZ-GY,2018-06-07,1442.29,1442.29,1417.84,1426.6,4526,-22.3900000000001,-0.0155
5,AMZ-GY,2018-06-08,1429.27,1435.59,1415.15,1432.27,4230,5.670000000000073,0.004
1,AMZ-GY,2018-06-11,1428,1435.47,1423.2,1429.58,3025,-2.6900000000000546,-0.0019
2,AMZ-GY,2018-06-12,1442.99,1443,1434,1438.13,3094,8.550000000000182,0.006
3,AMZ-GY,2018-06-13,1448.38,1454.44,1444.03,1454.44,3458,16.309999999999945,0.0113
4,AMZ-GY,2018-06-14,1442.1,1477.55,1438.09,1476.19,7840,21.75,0.015
5,AMZ-GY,2018-06-15,1491.9,1495,1471.54,1476.47,5718,0.2799999999999727,0.0002
1,AMZ-GY,2018-06-18,1476.5,1487.34,1465.01,1483.93,6480,7.460000000000036,0.0051
2,AMZ-GY,2018-06-19,1472,1485.87,1464.01,1479.28,7480,-4.650000000000091,-0.0031
3,AMZ-GY,2018-06-20,1505.51,1514,1502.12,1513.5,9109,34.22000000000003,0.0231
4,AMZ-GY,2018-06-21,1527.1,1527.1,1484,1500.87,7278,-12.63000000000011,-0.0083
5,AMZ-GY,2018-06-22,1484.49,1497.99,1477.17,1484.42,5407,-16.449999999999818,-0.011
1,AMZ-GY,2018-06-25,1469.85,1469.85,1419.1,1425.57,10622,-58.850000000000136,-0.0396
2,AMZ-GY,2018-06-26,1429,1446.81,1426,1438.92,8035,13.350000000000136,0.0094
3,AMZ-GY,2018-06-27,1447.92,1475.72,1435.88,1463.7,4399,24.779999999999973,0.0172
4,AMZ-GY,2018-06-28,1442,1458.61,1430,1455.525,4526,-8.174999999999955,-0.0056
5,AMZ-GY,2018-06-29,1476,1483.99,1467.78,1467.78,5666,12.254999999999882,0.0084
1,AMZ-GY,2018-07-02,1452,1466.7,1444.13,1460.09,3530,-7.690000000000055,-0.0052
2,AMZ-GY,2018-07-03,1476.99,1480.51,1462.48,1464.935,2520,4.845000000000027,0.0033
3,AMZ-GY,2018-07-04,1457.39,1466,1455.62,1456.01,1507,-8.924999999999955,-0.0061
4,AMZ-GY,2018-07-05,1452.67,1463.98,1439,1449.805,4640,-6.204999999999927,-0.0043
5,AMZ-GY,2018-07-06,1450.5,1458,1438.25,1456.85,2419,7.044999999999845,0.0049
1,AMZ-GY,2018-07-09,1462.99,1473.19,1458.42,1472.36,4748,15.509999999999991,0.0106
2,AMZ-GY,2018-07-10,1485.01,1493.63,1478.5,1486.725,6716,14.365000000000009,0.0098
3,AMZ-GY,2018-07-11,1473.5,1493.82,1470,1488.95,3242,2.2250000000001364,0.0015
4,AMZ-GY,2018-07-12,1503.23,1528,1502.01,1526.64,6964,37.690000000000055,0.0253
5,AMZ-GY,2018-07-13,1551.51,1559.36,1542.62,1553.12,7327,26.47999999999979,0.0173
1,AMZ-GY,2018-07-16,1555.99,1563.38,1548.18,1560.27,5611,7.150000000000091,0.0046
2,AMZ-GY,2018-07-17,1539,1574.81,1537.1,1574.81,7927,14.539999999999964,0.0093
3,AMZ-GY,2018-07-18,1591.99,1598.9,1572.76,1587.37,7974,12.559999999999945,0.008
4,AMZ-GY,2018-07-19,1581.9,1589.63,1572,1580.24,4308,-7.129999999999882,-0.0045
5,AMZ-GY,2018-07-20,1564.01,1573.87,1553.77,1563.25,5417,-16.99000000000001,-0.0108
1,AMZ-GY,2018-07-23,1545.11,1552.9,1510,1542.22,7559,-21.029999999999973,-0.0135
2,AMZ-GY,2018-07-24,1564,1572,1555.31,1563.04,6111,20.819999999999936,0.0135
3,AMZ-GY,2018-07-25,1568.97,1573.08,1558.64,1573.08,4156,10.039999999999964,0.0064
4,AMZ-GY,2018-07-26,1568,1578.27,1556.75,1566.98,7539,-6.099999999999909,-0.0039
5,AMZ-GY,2018-07-27,1603.11,1630.28,1571.74,1582.8,18391,15.819999999999936,0.0101
1,AMZ-GY,2018-07-30,1564,1571.59,1522,1534.81,12236,-47.99000000000001,-0.0303
2,AMZ-GY,2018-07-31,1531,1535.35,1486.73,1518.54,11713,-16.269999999999982,-0.0106
